"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"97","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","192","Found 'DD'-anomaly for variable 'view' (lines '192'-'197').","Controversial Rules","DataflowAnomalyAnalysis"
"98","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","192","Found 'DD'-anomaly for variable 'view' (lines '192'-'203').","Controversial Rules","DataflowAnomalyAnalysis"
"99","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","214","Found 'DD'-anomaly for variable 'cityList' (lines '214'-'215').","Controversial Rules","DataflowAnomalyAnalysis"
"100","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","215","Found 'DD'-anomaly for variable 'cityList' (lines '215'-'216').","Controversial Rules","DataflowAnomalyAnalysis"
"101","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","224","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"102","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","238","Local variable 'roomType' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"103","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","246","Found 'DD'-anomaly for variable 'hotelList' (lines '246'-'247').","Controversial Rules","DataflowAnomalyAnalysis"
"104","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","247","Found 'DD'-anomaly for variable 'hotelList' (lines '247'-'248').","Controversial Rules","DataflowAnomalyAnalysis"
"105","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","258","Local variable 'hotelId' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"106","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","276","Found 'DD'-anomaly for variable 'status' (lines '276'-'277').","Controversial Rules","DataflowAnomalyAnalysis"
"107","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","290","The String literal 'result' appears 10 times in this file; the first occurrence is on line 290","String and StringBuffer Rules","AvoidDuplicateLiterals"
"108","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","298","Found 'DD'-anomaly for variable 'status' (lines '298'-'299').","Controversial Rules","DataflowAnomalyAnalysis"
"109","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","314","Avoid unused local variables such as 'reportBean'.","Unused Code Rules","UnusedLocalVariable"
"110","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","314","Found 'DU'-anomaly for variable 'reportBean' (lines '314'-'319').","Controversial Rules","DataflowAnomalyAnalysis"
"111","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","333","Found 'DD'-anomaly for variable 'viewName' (lines '333'-'338').","Controversial Rules","DataflowAnomalyAnalysis"
"112","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","338","Found 'DD'-anomaly for variable 'viewName' (lines '338'-'343').","Controversial Rules","DataflowAnomalyAnalysis"
"113","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","359","Found 'DU'-anomaly for variable 'viewName' (lines '359'-'379').","Controversial Rules","DataflowAnomalyAnalysis"
"114","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","362","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"115","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","2","399","Avoid reassigning parameters such as 'hotelBean1'","Design Rules","AvoidReassigningParameters"
"116","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","401","Found 'DD'-anomaly for variable 'viewName' (lines '401'-'406').","Controversial Rules","DataflowAnomalyAnalysis"
"117","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","406","Found 'DD'-anomaly for variable 'viewName' (lines '406'-'411').","Controversial Rules","DataflowAnomalyAnalysis"
"118","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","428","Found 'DD'-anomaly for variable 'viewName' (lines '428'-'433').","Controversial Rules","DataflowAnomalyAnalysis"
"119","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","428","Found 'DD'-anomaly for variable 'viewName' (lines '428'-'448').","Controversial Rules","DataflowAnomalyAnalysis"
"120","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","428","Found 'DD'-anomaly for variable 'viewName' (lines '428'-'455').","Controversial Rules","DataflowAnomalyAnalysis"
"121","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","442","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"122","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","448","Found 'DD'-anomaly for variable 'viewName' (lines '448'-'455').","Controversial Rules","DataflowAnomalyAnalysis"
"123","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","480","Found 'DD'-anomaly for variable 'viewName' (lines '480'-'496').","Controversial Rules","DataflowAnomalyAnalysis"
"124","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","480","Found 'DD'-anomaly for variable 'viewName' (lines '480'-'502').","Controversial Rules","DataflowAnomalyAnalysis"
"125","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","480","Found 'DU'-anomaly for variable 'viewName' (lines '480'-'506').","Controversial Rules","DataflowAnomalyAnalysis"
"126","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","491","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"127","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","3","495","Do not add empty strings","Optimization Rules","AddEmptyString"
"128","com.igate.hbms.controller","src/com/igate/hbms/controller/HbmsController.java","5","496","Found 'DD'-anomaly for variable 'viewName' (lines '496'-'502').","Controversial Rules","DataflowAnomalyAnalysis"
"129","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","4","6","Avoid unused imports such as 'javax.servlet.jsp.jstl.sql.Result'","Type Resolution Rules","UnusedImports"
"130","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","4","6","Avoid unused imports such as 'javax.servlet.jsp.jstl.sql.Result'","Type Resolution Rules","UnusedImports"
"131","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","3","17","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"132","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","3","17","Parameter 'rowNum' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"133","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","3","17","Parameter 'rs' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","com.igate.hbms.dao","src/com/igate/hbms/dao/DisplayRoomRowMapper.java","3","19","Local variable 'roomTypeBean' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"135","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","30","Parameter 'jdbcTemplate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"136","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","34","Parameter 'userBean' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
